company_name,glusr_usr_mobile_country,mobile1,mobile2,pns_no,email_verified,mobile_verified,contact_address,city_state_zip,glusr_usr_company_desc,country_code,primary_phone,city,state,pincode,industry,,match_status
Aura Enterprises,91,9840065775,,8043047940,Verified,Verified,4 Nathan Street Harrington Road Chetpet Chennai Tamil Nadu 600031, Chennai Tamil Nadu 600031,established in the year 1994 aura enterprises is one of the famous names in the market. we are working as a sole proprietorship based firm. the head office of our company is located in chennai tamil nadu. matching up with the ever increasing requirements of the customers our company is engaged in manufacturing and exporting of coloured potpourri milk bath bag bath salt and many more. these products are stringently examined on numerous quality parameters before final dispatch. we export 25% of products to usa and dubai.\r\n&nbsp;\r\naura enterprises is a leading manufacturer of potpourri and spa products like bath salts milk bath bags herbal bath bags.... we are based in chennai india and for over 15 years now our products have been synonymous with luxury in hotels and spas within india and overseas.\r\nwith our range rediscover the benefit of traditional beauty recipes made with natural ingredients - fruit vegetables flowers grain and herbs. our brand \aura\ has ingredients that are all natural and eco- friendly. our clientele includes export houses wedding planners and corporates.exciting gifting options from aura. it may be a &ldquo;thank you&rdquo; to loved ones friends or employees or just a gift to say that you care . be it diwali christmas new year sangeeth weddings anniversaries  corporate events return gifts.choose from our range of unique products to make a statement through our gifts.,91,9.20E+11,Chennai,Tamil Nadu,600031,Manufacturing,,MATCH
Senthil Murugan Stores,91,8056148322,9840672569,8041949822,Verified,Verified,Chintadripet Chennai Tamil Nadu 600002, Chennai Tamil Nadu 600002,,91,9.18E+11,Chennai,Tamil Nadu,600002,Retail & E-Commerce,,MISMATCH
Paramount Enterprises,91,9840117485,9840555488,8045316259,Verified,Verified,No. 36 Old No. 10 Palani Andavar Street Chinthadripet Chennai Tamil Nadu 600002, Chennai Tamil Nadu 600002,started in very small scale.picked up by word of mouth. supplying most leading stores in chennai and sorroundings.our materials is also appreciated overseas. its the qwality that matters.,91,9.20E+11,Chennai,Tamil Nadu,600002,Retail & E-Commerce,,MATCH
Celestial Group,91,9176135364,,8048000898,Verified,Verified,3/18 Mastan Ali Garden Vadapalani Chennai Tamil Nadu 600026, Chennai Tamil Nadu 600026,celestial group is basically the partnership based company which was established in 2012 at chennai in tamil nadu india. we are engaged in the trading and importing of solar light solar system solar battery and many more. we are also the service provider of solar photovoltaic service on clients demand. our company was formed with the sole aim to provide economical and hassle free solutions to generate electricity.&nbsp; moreover our products are manufactured by using innovative and cost-effective methods to generate electricity with the help of existing solar technology by the vendors. the top leading position of our company is the result of indigenous designs modeled to minimize power loss calculated usage and utilize maximum from the energy generated by the installed solar panel. also our products have been successfully erected and is continuously generating (approximately 80 kw) electricity. our products are easy to install which is highly appreciated by our valuable clients. we source these products from the authentic vendors of the industry.,91,9.19E+11,Chennai,Tamil Nadu,600026,Technology & Software,,MATCH
Traplicane Store,91,9710290087,,8041949538,Verified,Verified,Shop No.225/314 Triplicane High Road Chennai Tamil Nadu 600005, Chennai Tamil Nadu 600005,,91,9.20E+11,Chennai,Tamil Nadu,600005,Retail & E-Commerce,,MISMATCH
Sainergy Fuel Cell India Private Limited,91,9840709008,9790908830,8046066335,Verified,Verified,Aleena Towers No. 288 Burma Colony Perungudi 4th Main Road Chennai Tamil Nadu 600096, Chennai Tamil Nadu 600096,the indian operation of sainergy tech is in the name of sainergy fuel cell india pvt ltd. sfci has developed the technology for making gas diffusion layer with carbon paper and carbon cloth. sfci also has technology for making gas diffusion electrode.the company has a proprietary technology for making catalyst coated membrane (ccm) as well as membrane electrode assembly (mea) for pem fuel cell. the company has good technical experts; who are well versed in characterization of membrane electrode assembly by various electrochemical techniques. the company has planned to develop an indigenous technology for making various fuel cell components as well as fuel cell stack ranging from 1 watt to 5000 watts. we are also interested in collaboration with various research institution and academic institute or university to improve the current fuel cell technology and make it cost effective. we are also planning to make small fuel cell for portable electronics applications. in addition we plan to introduce fuel cell education kit to schools and colleges.,91,9.20E+11,Chennai,Tamil Nadu,600096,Technology & Software,,MATCH
Bansi Office Solutions,91,9600036445,,8048715179,Verified,Verified,12 1st Steet Dr. Narashiman Road Chennai Tamil Nadu 600017, Chennai Tamil Nadu 600017,since commencement bansi office solutions is devoting all our efforts towards becoming an eminent manufacturer. our corporation was established in the year 2005 as sole proprietorship entity engaged in offering a supreme quality array of cleaning chemical cleaning mop cleaning brush cleaning cloth cleaning broom and many more. furthermore we continuously strive to implement innovation in the premises for better flow of work.,91,9.20E+11,Chennai,Tamil Nadu,600017,Manufacturing,,MATCH
Muthu Enterprises,91,9710222903,9791402852,8048425316,Verified,Verified,No. 2/186 ZA Kalakruti Avenue Royal Enclave Extension Injambakkam Opposite Prathana Drive-In-Theater Chennai Tamil Nadu 600115, Chennai Tamil Nadu 600115,stepped in this company in the year 2010 muthu enterprise has created a well-known position in the market. the ownership type of the company is sole proprietorship. we are instrumental in manufacturing and retailing a huge gamut of leather belt men's slipper ladies slipper and many more. we are offering products as per the customers&rsquo; demands and make sure that the offered products must satisfy the clients. we are offering our products at market leading prices.,91,9.20E+11,Chennai,Tamil Nadu,600115,Retail & E-Commerce,,MATCH
Deen Electricals,91,9840277755,7200099959,8049188411,Verified,Verified,No. 14/35 Dr. Kanu Nagar 3rd Street Chennai Tamil Nadu 600078, Chennai Tamil Nadu 600078,deen electricals is the electronic shopping hub of chennai city in india since 1984. the ownership type of the company is sole proprietorship. we hold expertise in installation service a huge gamut of tube light ceiling fan power inverter electrical accessories and many more. apart from these we are also rendering electrical maintenance service installation service repairing service and many more. we undertake electrical works and electrical maintenance for the existing buildings and home and we will provide our clients with unmatched quality and finish products.,91,9.20E+11,Chennai,Tamil Nadu,600078,Retail & E-Commerce,,MATCH
Vrish Fashions,91,8110068207,8754266221,8045353158,Verified,Verified,No. 21 F-1 Arvind Apartments Inner Ring Road Vadapalani Near Refa Hardware Ashok Nagar Chennai Tamil Nadu 600026, Chennai Tamil Nadu 600026,commenced in the year 2014 vrish fashions has carved a niche amongst the trusted names in the market. the ownership type of our company is a partnership. the head office of our business is located in chennai tamil nadu. enriched by our vast industrial experience in this business we are involved in manufacturing wholesaling trading and retailing an enormous quality range of ladies suit ladies designer dupatta dress material and many more. our quality integrated range is the output of the combination of the hard work of our hard-working manpower and the contemporary techniques that we own as our pride.,91,9.18E+11,Chennai,Tamil Nadu,600026,Retail & E-Commerce,,MATCH
